Año,Kilómetros,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Nafta/GNC,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0,hibrido,Precio
2023,20000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,33000.0
2023,1550,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59900.0
2022,65000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,29186.6028708134
2022,18000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,33000.0
2023,1500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55000.0
2023,500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47500.0
2024,500,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,32700.0
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,34736.84210526316
2008,300000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17129.186602870814
2018,185000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34449.76076555024
1997,313000,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11500.0
2021,51700,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,29186.6028708134
2023,10800,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53999.0
2022,5500,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30143.54066985646
2010,220000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24500.0
1999,336400,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11004.784688995216
2022,12000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,33900.0
2024,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,54225.64593301436
2021,30000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,28708.133971291867
2017,159000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34000.0
2021,50000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,42000.0
2013,220000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26300.0
2022,27500,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,57750.0
2021,40000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44019.13875598087
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,56459.33014354067
2024,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53687.36842105263
2012,168000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,12430.526315789471
2016,193000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28400.0
2016,185000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34000.0
2007,250000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18500.0
2018,88000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,26000.0
2014,96000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,20000.0
2016,158000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30000.0
2009,237500,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20000.0
2018,88000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,24100.0
2023,4000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,54500.0
2021,69000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,45900.0
2020,55000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39900.0
2022,40000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30999.0
2022,22000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,33490.0
2022,33000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30000.0
2018,83000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38900.0
2020,68000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,43000.0
2011,130000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28000.0
2021,51700,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30526.315789473683
2024,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,27070.105263157893
2020,90000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,41000.0
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59808.61244019138
2019,49000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39800.0
2022,45000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,54000.0
