,Año,Kilómetros,Precio,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0
93,2008,295000,21800.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
94,2012,230000,13875.598086124402,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
95,2012,220000,24500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
96,2023,8000,28708.133971291867,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
97,2022,68800,24401.91387559809,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
98,2022,46000,31483.253588516745,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
99,2023,0,31338.75598086124,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
100,2011,150000,14500.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
101,2016,110000,33500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
102,2022,0,46889.95215311005,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
103,2020,77000,44460.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
104,2024,0,36900.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
105,2014,108000,19138.75598086124,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
106,2017,97000,29000.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
107,2024,1000,36800.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
108,2008,250000,17900.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
109,2018,85282,41300.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
110,2022,15000,59000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
111,2011,240000,19900.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
112,2023,6000,38000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
113,2016,193000,28400.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
114,2023,20000,33000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
115,2016,150000,35800.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
116,2018,120000,34500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
117,2024,0,37799.04306220096,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
118,2024,0,54225.64593301436,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
119,2018,75000,42000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
120,2011,273852,20000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
121,2024,0,40900.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
122,2024,0,38000.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,2023,8200,49800.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
124,2021,30000,33000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
125,2023,2000,33900.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
126,2014,149000,22900.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
127,1997,334000,9377.990430622009,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
128,2023,0,30430.62200956938,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
129,2013,205000,23444.019138755983,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
130,2016,180000,33492.82296650718,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
131,2024,0,37990.43062200957,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
132,2021,35000,29900.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
133,2023,1000,28000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
134,1997,300000,11000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
135,2010,287000,12440.19138755981,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
136,2008,197800,11674.64114832536,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
137,2012,87000,24000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
138,2015,160000,26500.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
139,2021,38000,25741.531100478467,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
140,2023,0,60287.08133971292,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
141,2023,13000,52631.57894736842,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
142,2009,186000,10047.846889952154,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
143,2020,38000,43540.66985645933,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
144,2022,13800,31510.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
145,2012,168000,12430.526315789471,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
146,2018,100000,28000.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
147,2017,100000,30478.468899521533,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
148,2023,500,34000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
149,2017,216000,34000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
150,2021,69000,26784.68899521531,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
151,2013,240000,15000.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
152,2023,33000,28000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
153,2022,30000,31000.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
154,2018,115000,35885.167464114835,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
155,2008,235000,24784.68899521531,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
156,2010,245000,23500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
157,2011,382000,18000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
158,2019,29000,43000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
159,2024,0,38000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
160,2024,0,38181.81818181818,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
161,2022,1000,32800.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
162,2018,119000,34258.37320574163,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
163,2023,3600,60500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
164,2014,126000,18181.81818181818,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
165,2021,91220,28900.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
166,2017,61000,24210.52631578948,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
167,2013,78800,21531.1004784689,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
168,2001,338000,12500.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
169,2011,215000,25500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
170,2020,69000,43000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
171,2018,70000,37000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
172,2023,0,58373.20574162679,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
